institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
Clinton College,-81.043469,34.913721,10416.0,14779.441176470587,10416.0,19594.08823529412,106.0,0.0,51.84767221,False,100.0,"Rock Hill, South Carolina","A private university located in Rock Hill, South Carolina"
Coker University,-80.070416,34.37696,16560.0,30864.0,16560.0,30864.0,1187.0,76.0,35.0,False,990.0,"Hartsville, South Carolina","A private university located in Hartsville, South Carolina"
Columbia International University,-81.07443,34.07551,10440.0,26700.0,10440.0,26700.0,916.0,1715.0,67.0,False,1200.0,"Columbia, South Carolina","A private university located in Columbia, South Carolina"
Columbia College,-81.029967,34.045581,14587.0,15980.0,14587.0,15980.0,1268.0,304.0,53.0,False,765.0,"Columbia, South Carolina","A private university located in Columbia, South Carolina"
Converse University,-81.917881,34.955534,7750.0,22746.0,7750.0,22746.0,852.0,489.0,47.0,False,350.0,"Spartanburg, South Carolina","A private university located in Spartanburg, South Carolina"
Denmark Technical College,-81.123629,33.313355,5626.0,14779.441176470587,11252.0,19594.08823529412,646.0,0.0,46.75,True,675.0,"Denmark, South Carolina","A public university located in Denmark, South Carolina"
Erskine College,-82.39095,34.332087,13750.0,34435.0,13750.0,34435.0,854.0,130.0,49.0,False,2275.0,"Due West, South Carolina","A private university located in Due West, South Carolina"
Florence-Darlington Technical College,-79.81469,34.243882,4704.0,14779.441176470587,6576.0,19594.08823529412,3521.0,0.0,46.75,True,196.0,"Florence, South Carolina","A public university located in Florence, South Carolina"
Francis Marion University,-79.652854,34.189777,10394.0,10612.0,20768.0,21224.0,3623.0,394.0,43.0,True,776.0,"Florence, South Carolina","A public university located in Florence, South Carolina"
Furman University,-82.440458,34.924676,14970.0,57902.0,14970.0,57902.0,2327.0,178.0,81.0,False,410.0,"Greenville, South Carolina","A private university located in Greenville, South Carolina"
